Kode Barang,Warna,   AS,   S,  M, L, XL, XXL,06,08,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
ADC 002,SGB,,,31,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 008,SGB,,,7,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 013,SGB,,,7,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 039,SGB,,,20,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 050,SGB,,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 051,SGB,,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 070,SGB,,,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 403,SGB,,,,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 404,SGB,,,,21,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 407,SGB,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC 414,SGB,,,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFC 823,SGB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFC 827,SGB,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFC 828,SGB,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC 504,SGB,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC 505,SGB,,,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC 506,SGB,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC 511,SGB,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC 512,SGB,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIC 222,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,4,6,
AIC 224,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,7,2,5,
AIC 225,SGB,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,11,9,,,,
AIC 227,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,2,6,7,
AIC 228,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,5,4,7,
AIC 229,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,3,2,4,
AIC 230,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,3,3,
AKC 720,SGB,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 721,SGB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 722,SGB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 723,SGB,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 724,SGB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 725,SGB,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC 726,SGB,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
